Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-20T14:19:02Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not sure,"Despite providing evidence that I did a fulltime research post for 1 year I got marked 0 for research with the comment that without a copy of the protocol they couldn't assess the domain. I also provided PowerPoint slides, confirmation email and programme of events for a conference I spoke at. Again I was deducted these marks because I had not provided a letter of thanks from the organisers so they felt they had no evidence that I had actually turned up and delivered the talk. I asked for a review and no changes were made. I scored very low on my application. The level of suspicion my application was treated with made me doubt whether a birth certificate would even have been accepted as proof of my date of birth.",11
2021-05-20T14:19:24Z,Yes,25-30,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"There are so few ST3 post therefore no movement in fellow/staff grade jobs in the region and therefore high possibility of not being able to get a permanent job on completion of training. In addition, many of the fellow/staff grade jobs are being paid at the CT1 nodal pay point mean I will reduce my pay by £10,000 - £15,000 despite working at a high level of responsibility than I currently do in the training programme.
I also feel the college have completely dump us as trainees that have work extremely hard during the pandemic, been redeployed, sat exams and are now faced with no jobs!!!",12
2021-05-20T14:19:32Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fighting a pandemic is hard enough without  wondering if you'll have a job to go into afterwards. I saw the crunch coming in November last year which helped my preparation  but also added immeasurable stress. I have an ST3 post but getting it left me as burnt out as the pandemic. This was an avoidable and predictable situation which should be remedied with a very significant recruitment round in January 2022 and an apology from the GMC and HEE who both bear more responsibility than the RCOA.,13
2021-05-20T14:19:36Z,Yes,36-40,Female,NHS Education for Scotland,LAT ST3,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
2021-05-20T14:20:02Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm concerned about the number of training posts for ST3 as well as the numbers for CT1, while there has been a lot of anger raised about the ST3 posts and I am glad to see the association of anesthetists raising this, I am also frustrated by the limited numbers of CT1 posts and how many were not appointed, despite the large number of rota gaps ta trainee and registrar level and the pandemic exposing the need for greater numbers of staff with airway management skills. I feel that this is very poor workforce planning.
I would like this organisation to put more pressure on HEE to secure funding for more training posts across the country at both a core and middle grade level.",15
2021-05-20T14:20:04Z,Yes,25-30,Female,Health Education London,Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to take a break from training",Yes,No,No,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"I felt generally frustrated that the post numbers have been cut. This is especially disheartening following the COVID surge, the burden of which was hugely carried by anaesthetic trainees. It was also timed badly with a change in curriculum meaning that the seems to be a bottle neck of people with real important skills who are being denied training oppourtinities.",16
2021-05-20T14:20:08Z,Yes,41-45,Male,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Online interview was very difficult to participate in - no time to answer fully as so many questions and delay in connection which was stressful. I will have to move my family to another region as did not get a post in my current one. 
It just seems that all the issues this year could have been avoided - I think it's ridiculous to change the curriculum during such a time, therefore massively increasing competition and leaving hundreds of trainees without training posts unnecessarily.",17
2021-05-20T14:22:49Z,Yes,31-35,Female,Health Education and Improvement Wales,Anaesthetic Core Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,"Severn, yet again, released 10 jobs then added additional jobs later (now up to 16)... what game are they playing??

Having a year without recruitment puts so much stress on the 2023 ST4 round.  I don't mind not having a job this time round but it'll be a total disaster not getting one in 2023.",18
2021-05-20T14:22:57Z,Yes,25-30,Male,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
2021-05-20T14:22:58Z,Yes,31-35,Female,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not confident,"I had a 1 yo during the time of the pandemic, nursery closed even to NHS workers, mine and my husband's family live in Rep of Ireland so not able to help. Somehow (and I honestly have no idea how we did it) we managed to juggle my full time awful surge rota with the demands of a small child. My husband taught full time with our 1yo on his lap for the first 3 months of Covid. In the midst of all of this we had a leak in our house and had to move out. We made it through and I feel so fortunate that we didn't lose any loved ones etc but we are both so burnt out. I was on a surge rota for a year until March 2021. I was very conscious that my portfolio could have been a lot better for the ST3 interviews but I could not have physically done it. I am so exhausted. I don't know where I would have had the time to do extra projects, run teaching sessions etc. During the interview when they asked me about the most difficult period of my training I just wanted to say 'you honestly have no idea'. I am not a dramatic type at all and tend to just get on with stuff but honestly after the amount of sacrifice not to be given a training job this year feels beyond insulting. I will do my non-training post and then see where I get to but I think my husband and I will probably take our now 2yo to Rep of Ireland and find work there. The Irish health system has its faults of course but I don't think I could find it in me to go back into a training scheme run by the faceless HEE. They absolutely don't care for trainees and I honestly want nothing more to do with the training system in the UK, at least this is how I feel at the moment.",20
2021-05-20T14:23:13Z,Yes,25-30,Male,NHS Education for Scotland,LAT ST3,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I was not initially offered a job in the first wave of offers, but was successful on the final day of offer recycling (therefore had 2 weeks to contemplate my position).

Having done a LAT3 year and met the competencies to achieve stage 1 equivalent certification, I did not require a top-up year, and so with no recruitment to ST4 in 2022, would potentially be out of training for at least 2 years. There did not seem to be any consideration put forward to trainees in a similar position. The fact that higher specialty training numbers have been going down on average over recent years is baffling when simultaneously reading news articles about the shortage of consultant anaesthetists and how vital anaesthetists have been during the pandemic. It almost seems as though some of the mistakes from the MMC era are being repeated again. On the whole this stirs feelings of anger/frustration and when I thought that I had been unsuccessful in this round, I can vouch for feeling hopeless and considering whether I would return to training in the future or not.",21
2021-05-20T14:23:52Z,Yes,36-40,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,No,Not sure,"reduced number of ST3 jobs available,  feedback from verified self assessment scoring",22
2021-05-20T14:24:07Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Work abroad, Career break, PICU",No,Yes,Not sure,"Interviewed for 30 minutes by 2 consultants about non clinical experience - hardly a way to interview for future consultants. 
So few jobs, and yet there are CT3 posts, these could have been ST3's. 
Feel betrayed and unsupported after being redeployed to cover the COVID pandemic.",23
2021-05-20T14:24:10Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I recently achieved my CCT so the recruitment difficulties did not directly affect me. The handling of the recent rounds of recruitment have been an embarrassment to the specialty that was previously highly regarded for recruitment and retention.,24
2021-05-20T14:24:21Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Pursue training in a different specialty - specify below, Continue icm training, reapply in Feb. If unsuccessful, complete single cct in icm",Yes,No,Not confident,The huge jump in competition and mismatch between applicants and posts available reflects poorly workforce planning. Anaesthetists are locked into anaesthetic training and as such a lack of registrar posts prevents career progression.,25
2021-05-20T14:24:39Z,Yes,31-35,Male,Health Education East of England,Anaesthetic Core Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Pursue training in a different specialty - specify below, General practice",No,Yes,Not confident,NA,26
2021-05-20T14:25:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am concerned that the situation will worsen and ST3 posts will become more and more competitive. Health Competition is good but too much can create a cut throat and toxic culture, which I don't think would produce good anaesthetists. 
I am FY2 and I feel that the application is becoming more and more daunting and worried about stress you would face as a trainee.",27
2021-05-20T14:25:19Z,Yes,31-35,Female,Health Education Thames Valley,"Non-training Fellow, SAS or other Trust-Grade post",9,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, ICM ST3 post, Pursue training in a different specialty - specify below, Further education, e.g. pursue a higher degree",Yes,Don't know,Not sure,"There is a serious need for trainees , yet there is no increase in the training posts. Its very unfair. It should not be so competitive to get a post of your choice and in a place of your choice.  I am seriously thinking of other speciality options that too after 9 yrs of experience in Anaesthesia as I feel this competition is affecting my life and my mental health.",28
2021-05-20T14:25:32Z,Yes,25-30,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,NA,29
2021-05-20T14:25:38Z,Yes,31-35,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
2021-05-20T14:26:40Z,Yes,31-35,Female,Health Education and Improvement Wales,"Not currently in contracted employment, or currently a locum",4,"Not currently contracted, or working as a locum",Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2021-05-20T14:27:20Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2021-05-20T14:27:51Z,Yes,31-35,Male,NHS Education for Scotland,"Not currently in contracted employment, or currently a locum",5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
2021-05-20T14:28:03Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Self scoring wholly inadequate methods. Know a number of really excellent hard working trainees who have been left in limbo and should have been given the opportunity to be interviewed as part of the process.,34
2021-05-20T14:28:10Z,Yes,25-30,Female,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I took a job in a deanery I would not ordinarily have accepted a number in because of the change in curriculum and competition ratio. On balance, being in a training programme is a better guarantee towards my completion of training, and offers better pay/ study leave/ budgets than holding trust grade jobs. I also work on a tier 2 visa, which meant that going into training was a more secure route to having it renewed (the visa expires immediately after the end of my CT2 year and if I had not secured a CT3 job well before this with sufficient time to renew the visa I would be forced to leave the country). 

However, I am still deeply unsatisfied with the process because it now means that I work in a completely different deanery to my husband who is also medical, will not be eligible for IDT, and will be away from the home that we have just bought. I do not feel that our personal circumstances are considered with much weight by HEE, and some additional flexibility to the IDT process would promote wellbeing and make training more sustainable. 

Separately, I also think that the recruitment process is not fit for purpose and fails to discriminate between so many excellent candidates. The interview process is also not objective, open to great variability between interviewers and susceptible to a wide range of bias.",35
2021-05-20T14:29:36Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Pursue training in a different specialty - specify below",Don't know,Yes,Not confident,"The number of applicants applying for st3 (or st4 soon) will keep increasing above the number of posts, as there seems to be so many core training numbers still available. This is going to make it harder to get any registrar post in the future. This is all on the background of a shortage of Anaesthetic consultants. I worry that the government is trying to cheapen anaesthesia and increase the number of Anaesthetic associates and eventually make anaesthesia not a physician led speciality.",36
2021-05-20T14:30:13Z,Yes,31-35,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,Very poor communication from HEE and RCoA. Feel left out in the cold especially with a new curriculum change and delayed entry and ST training. Has really made me think twice about continuing to pursue anaesthetics training.,37
2021-05-20T14:30:31Z,Yes,25-30,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, ICM ST3 post, Further education, e.g. pursue a higher degree, Work abroad, Career break",Don't know,Don't know,Not confident,Video in my interview didn't work so I could not see any of my interview panel. Subsequently I saw my feedback in communication was marked down because “did not respond to signalling”. ANRO have stated that interviews should only be scored on content on answers but this can not be appealed in anyway. Very disheartening when you miss a job by 1 or 2 points.,38
2021-05-20T14:30:33Z,Yes,31-35,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,No,Not sure,NA,39
2021-05-20T14:30:36Z,Yes,25-30,Male,Health Education Wessex,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, In Wessex the CT3 top up posts are being advertised as non training fellow posts",Don't know,Yes,Not confident,NA,40
2021-05-20T14:31:45Z,Yes,25-30,Male,Health Education North East,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,No,Not confident,The guidance for self scored point was not as clear as it could have been. The information about uploading a Cv was under the heading of extra degrees (which you may not have read if you has no extra degrees to declare). I nearly didn't up loading a CV as I didn't have any extra degrees to score points for (thank fully I did up load one so was not marked down for this but know a lot of colleagues that didnt),41
2021-05-20T14:31:59Z,Yes,31-35,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not sure,The portfolio scoring seems unreasonable and bot being able to justify them seems unfair.,42
2021-05-20T14:32:52Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,No,Not sure,"The relative lack of number of ST3 posts nationally, despite surveys such as the RCOA census demonstrating a growing gap in the anaesthetic workforce and the need for more anaesthetists to overcome the backlog of operations not undertaken during the pandemic.",43
2021-05-20T14:33:10Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Enough experience given COVID affected training,44
2021-05-20T14:33:18Z,Yes,25-30,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Considering qualifying through the  cesr programme",Yes,Yes,Not sure,How big will the bottle neck of trainees applying for ST4 posts in 2023 be? Will I be supported if I qualify through the cesr programme?,45
2021-05-20T14:33:50Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not sure,"I think the application process actively discriminates applicants with caring or childcare responsibilities who don't have the time or money to play the points game to gain an interview. This is something I have witnesses first hand, I have seen colleagues with children fail to get a job, and colleagues who are carers leave Anaesthetics. I appreciate that there has to be a method that allows for the limited (which is another problem) number of posts to be given out, but the current method is discriminatory. If ANRO insist on this method then each point needs to be reviewed for its impact. From what I have read SJT type application would be more fair. 

I also find it's mind boggling that the UK tax payer has invested so much into my training at this point and the UK is real need for more Anaesthetic/ICU consultants but there is an artificial road block halting my training. The UK will loose their investment if this continues.",46
2021-05-20T14:34:14Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
2021-05-20T14:34:34Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
2021-05-20T14:34:38Z,Yes,31-35,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3.5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whilst I was happy to find out that I was successful in the most recent recruitment round, this has been a long and arduous process for me having been unfortunate in the previous two rounds of application, which were also massively impacted by the pandemic and changes to the anaesthetics curriculum. I have been considering my career plans throughout the last 18 months with moving abroad and switching specialties as definite options. I feel sorry for those guys who didn't get a job this time, but I am glad to see there are plans in place to help them get the competencies they need via CT3 top up posts.",49
2021-05-20T14:34:50Z,Yes,25-30,Female,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Switch to ED",No,Yes,Not confident,NA,50
2021-05-20T14:36:31Z,Yes,36-40,Male,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,Starting a ST3 ICM post may complicate the ability to complete a standalone ct3 year. Which would prevent me from dual training.,51
2021-05-20T14:36:56Z,Yes,31-35,Female,Health Education East of England,Intensive Care Medicine Trainee,4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The self assesment scoring was vague, it was very marker dependent. People had national presentations counted if accepted but hadn't presented yet, others didn't.
The guidance states will no longer take into account courses not being done but having had over 3 of my ATLS courses cancelled, 1 the night before due in. The face to face courses not at same rate.
Interview - limited information prior.",52
2021-05-20T14:37:16Z,Yes,25-30,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"It does not feel as though there is any centralised help in arranging the required CT3 competencies. We have been told to achieve certain things (paediatric, Obs, regional, ITU experience) but knowing that there are almost 700 trainees in the same boat I am concerned that the training opportunities to achieve these competencies will not be easy to come by. There has been no information about how many CT3 equivalent jobs will be available or when these will be available.",53
2021-05-20T14:39:26Z,Yes,31-35,Male,Outside UK,"Not currently in contracted employment, or currently a locum",4,"Not currently contracted, or working as a locum",Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not confident,"Having taken time out and there being no recruitment next year, I will end up having had “too much experience” to apply to ST4 in 2023",54
2021-05-20T14:41:27Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Stay as a specility doctor,No,Yes,Not confident,"It was extremely obvious to everyone in anaesthetics that this would occur except it seems the RCOA and HEE. The timing of the new curriculum has left us stranded. 

Despite passing the exam and completing all that was asked in a difficult time there have been no rewards for this. This has made me strongly consider not becoming a consultant. South yorkshire has also become pandeanery in the past few years. I refuse to uproot my family to work as a consultant in a profession that does not reward hard work. 

We all should have been welcomed with open arms into training as there are shortages across the region in the consultant body and at spr level. Local hospitals are plugging the gap with non training roles. Mine now has 25% of the department staff as fellows or speciality doctors. 

Being good clinically is not rewarded, those who progress are the ones that spend every waking hour on audits, research and teaching which does not translate into being a good consultant.",55
2021-05-20T14:42:08Z,Yes,36-40,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",10,Full-time,No,NA,NA,NA,"Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,No,"Non-training fellow post, Pursue training in a different specialty - specify below, Permanently leaving the medical profession",No,Yes,Not confident,Insufficient jobs available creating an even bigger bottleneck in career progression at a time when there are in reality 50% underfill of middle grade anaesthetic rotas.,56
2021-05-20T14:43:47Z,Yes,31-35,Male,Health Education West Midlands,Intensive Care Medicine Trainee,2,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It was a positive that the self assessment was verified this year. However I feel that the interview questions poorly discern between candidates ability - anyone can talk about a critical incident or why they want to do anaesthetics but it would be more testing to discuss a clinical scenario and/or prepare a short presentation whilst in the ""Waiting Room"" (both of these still possible via teleconference).",57
